SRN,who,group,qu,rating
1003781,you,recreation,2,3
1003781,you,financial,3,6
1003781,you,health,5,5
1003781,you,ethical,6,7
1003781,you,social,7,4
1003781,you,financial,8,4
1003781,you,ethical,9,6
1003781,you,ethical,10,5
1003781,you,recreation,11,4
1003781,you,financial,12,6
1003781,you,recreation,13,5
1003781,you,financial,14,5
1003781,you,health,17,6
1003781,you,financial,18,4
1003781,you,recreation,19,6
1003781,you,health,20,4
1003781,you,social,21,3
1003781,you,social,22,2
1003781,you,health,23,5
1003781,you,recreation,24,5
1003781,you,recreation,25,4
1003781,you,health,26,6
1003781,you,social,27,2
1003781,you,social,28,2
1003781,you,ethical,30,6
1003781,other,social,1,1
1003781,other,recreation,2,1
1003781,other,financial,3,6
1003781,other,health,5,7
1003781,other,ethical,6,5
1003781,other,social,7,2
1003781,other,financial,8,2
1003781,other,ethical,9,5
1003781,other,ethical,10,5
1003781,other,recreation,11,3
1003781,other,financial,12,4
1003781,other,recreation,13,3
1003781,other,financial,14,4
1003781,other,health,17,5
1003781,other,financial,18,4
1003781,other,recreation,19,5
1003781,other,health,20,3
1003781,other,social,21,1
1003781,other,social,22,1
1003781,other,health,23,5
1003781,other,recreation,24,3
1003781,other,recreation,25,2
1003781,other,health,26,4
1003781,other,social,27,1
1003781,other,social,28,2
1003781,other,ethical,30,5
1003782,you,social,1,1
1003782,you,recreation,2,4
1003782,you,financial,3,4
1003782,you,health,5,6
1003782,you,ethical,6,6
1003782,you,social,7,3
1003782,you,financial,8,4
1003782,you,ethical,9,5
1003782,you,ethical,10,6
1003782,you,recreation,11,4
1003782,you,financial,12,7
1003782,you,recreation,13,6
1003782,you,financial,14,5
1003782,you,health,17,4
1003782,you,financial,18,5
1003782,you,recreation,19,5
1003782,you,health,20,5
1003782,you,social,21,2
1003782,you,social,22,3
1003782,you,health,23,5
1003782,you,recreation,24,4
1003782,you,recreation,25,4
1003782,you,health,26,7
1003782,you,social,27,3
1003782,you,social,28,3
1003782,you,ethical,30,7
1003782,other,social,1,1
1003782,other,recreation,2,4
1003782,other,financial,3,4
1003782,other,health,5,4
1003782,other,ethical,6,5
1003782,other,social,7,2
1003782,other,financial,8,3
1003782,other,ethical,9,3
1003782,other,ethical,10,5
1003782,other,recreation,11,3
1003782,other,financial,12,6
1003782,other,recreation,13,5
1003782,other,financial,14,3
1003782,other,health,17,3
1003782,other,financial,18,4
1003782,other,recreation,19,3
1003782,other,health,20,3
1003782,other,social,21,2
1003782,other,social,22,3
1003782,other,health,23,4
1003782,other,recreation,24,2
1003782,other,recreation,25,4
1003782,other,health,26,6
1003782,other,social,27,3
1003782,other,social,28,2
1003782,other,ethical,30,6
1003783,you,social,1,3
1003783,you,recreation,2,3
1003783,you,financial,3,2
1003783,you,health,5,5
1003783,you,ethical,6,7
1003783,you,social,7,2
1003783,you,financial,8,7
1003783,you,ethical,9,7
1003783,you,ethical,10,6
1003783,you,recreation,11,6
1003783,you,financial,12,3
1003783,you,recreation,13,4
1003783,you,financial,14,4
1003783,you,health,17,6
1003783,you,financial,18,5
1003783,you,recreation,19,5
1003783,you,health,20,5
1003783,you,social,21,4
1003783,you,social,22,2
1003783,you,health,23,6
1003783,you,recreation,24,4
1003783,you,recreation,25,4
1003783,you,health,26,7
1003783,you,social,27,5
1003783,you,social,28,3
1003783,you,ethical,30,5
1003783,other,social,1,2
1003783,other,recreation,2,2
1003783,other,financial,3,1
1003783,other,health,5,4
1003783,other,ethical,6,6
1003783,other,social,7,1
1003783,other,financial,8,5
1003783,other,ethical,9,5
1003783,other,ethical,10,7
1003783,other,recreation,11,6
1003783,other,financial,12,4
1003783,other,recreation,13,3
1003783,other,financial,14,4
1003783,other,health,17,5
1003783,other,financial,18,4
1003783,other,recreation,19,3
1003783,other,health,20,4
1003783,other,social,21,3
1003783,other,social,22,1
1003783,other,health,23,4
1003783,other,recreation,24,2
1003783,other,recreation,25,2
1003783,other,health,26,6
1003783,other,social,27,4
1003783,other,social,28,3
1003783,other,ethical,30,6
1003784,you,social,1,3
1003784,you,recreation,2,4
1003784,you,financial,3,6
1003784,you,health,5,5
1003784,you,ethical,6,5
1003784,you,social,7,3
1003784,you,financial,8,5
1003784,you,ethical,9,7
1003784,you,ethical,10,7
1003784,you,recreation,11,5
1003784,you,financial,12,5
1003784,you,recreation,13,5
1003784,you,financial,14,4
1003784,you,health,17,5
1003784,you,financial,18,4
1003784,you,recreation,19,4
1003784,you,health,20,2
1003784,you,social,21,3
1003784,you,social,22,3
1003784,you,health,23,5
1003784,you,recreation,24,5
1003784,you,recreation,25,3
1003784,you,health,26,6
1003784,you,social,27,4
1003784,you,social,28,4
1003784,you,ethical,30,7
1003784,other,social,1,2
1003784,other,recreation,2,2
1003784,other,financial,3,4
1003784,other,health,5,4
1003784,other,ethical,6,5
1003784,other,social,7,1
1003784,other,financial,8,4
1003784,other,ethical,9,5
1003784,other,ethical,10,7
1003784,other,recreation,11,4
1003784,other,financial,12,4
1003784,other,recreation,13,6
1003784,other,financial,14,3
1003784,other,health,17,4
1003784,other,financial,18,3
1003784,other,recreation,19,4
1003784,other,health,20,3
1003784,other,social,21,3
1003784,other,social,22,3
1003784,other,health,23,4
1003784,other,recreation,24,5
1003784,other,recreation,25,1
1003784,other,health,26,6
1003784,other,social,27,3
1003784,other,social,28,3
1003784,other,ethical,30,6
1003785,you,social,1,2
1003785,you,recreation,2,3
1003785,you,financial,3,5
1003785,you,health,5,6
1003785,you,ethical,6,4
1003785,you,social,7,1
1003785,you,financial,8,3
1003785,you,ethical,9,7
1003785,you,ethical,10,6
1003785,you,recreation,11,5
1003785,you,financial,12,6
1003785,you,recreation,13,4
1003785,you,financial,14,4
1003785,you,health,17,4
1003785,you,financial,18,4
1003785,you,recreation,19,6
1003785,you,health,20,7
1003785,you,social,21,3
1003785,you,social,22,2
1003785,you,health,23,5
1003785,you,recreation,24,5
1003785,you,recreation,25,6
1003785,you,health,26,5
1003785,you,social,27,2
1003785,you,social,28,2
1003785,you,ethical,30,7
1003785,other,social,1,1
1003785,other,recreation,2,2
1003785,other,financial,3,5
1003785,other,health,5,4
1003785,other,ethical,6,4
1003785,other,social,7,1
1003785,other,financial,8,2
1003785,other,ethical,9,5
1003785,other,ethical,10,5
1003785,other,recreation,11,5
1003785,other,financial,12,5
1003785,other,recreation,13,3
1003785,other,financial,14,4
1003785,other,health,17,3
1003785,other,financial,18,3
1003785,other,recreation,19,5
1003785,other,health,20,6
1003785,other,social,21,3
1003785,other,social,22,2
1003785,other,health,23,3
1003785,other,recreation,24,5
1003785,other,recreation,25,4
1003785,other,health,26,3
1003785,other,social,27,1
1003785,other,social,28,1
1003785,other,ethical,30,6
1003786,you,social,1,1
1003786,you,recreation,2,4
1003786,you,financial,3,5
1003786,you,health,5,7
1003786,you,ethical,6,6
1003786,you,social,7,1
1003786,you,financial,8,5
1003786,you,ethical,9,6
1003786,you,ethical,10,7
1003786,you,recreation,11,3
1003786,you,financial,12,6
1003786,you,recreation,13,3
1003786,you,financial,14,2
1003786,you,health,17,5
1003786,you,financial,18,3
1003786,you,recreation,19,6
1003786,you,health,20,5
1003786,you,social,21,3
1003786,you,social,22,3
1003786,you,health,23,4
1003786,you,recreation,24,2
1003786,you,recreation,25,3
1003786,you,health,26,5
1003786,you,social,27,4
1003786,you,social,28,3
1003786,you,ethical,30,5
1003786,other,social,1,1
1003786,other,recreation,2,3
1003786,other,financial,3,5
1003786,other,health,5,6
1003786,other,ethical,6,5
1003786,other,social,7,1
1003786,other,financial,8,4
1003786,other,ethical,9,5
1003786,other,ethical,10,6
1003786,other,recreation,11,3
1003786,other,financial,12,4
1003786,other,recreation,13,2
1003786,other,financial,14,1
1003786,other,health,17,5
1003786,other,financial,18,3
1003786,other,recreation,19,4
1003786,other,health,20,6
1003786,other,social,21,5
1003786,other,social,22,1
1003786,other,health,23,4
1003786,other,recreation,24,1
1003786,other,recreation,25,2
1003786,other,health,26,5
1003786,other,social,27,3
1003786,other,social,28,1
1003786,other,ethical,30,5
1003787,you,social,1,3
1003787,you,recreation,2,6
1003787,you,financial,3,6
1003787,you,health,5,5
1003787,you,ethical,6,7
1003787,you,social,7,4
1003787,you,financial,8,6
1003787,you,ethical,9,6
1003787,you,ethical,10,5
1003787,you,recreation,11,5
1003787,you,financial,12,4
1003787,you,recreation,13,6
1003787,you,financial,14,5
1003787,you,health,17,5
1003787,you,financial,18,6
1003787,you,recreation,19,5
1003787,you,health,20,5
1003787,you,social,21,2
1003787,you,social,22,3
1003787,you,health,23,7
1003787,you,recreation,24,2
1003787,you,recreation,25,2
1003787,you,health,26,4
1003787,you,social,27,3
1003787,you,social,28,2
1003787,you,ethical,30,7
1003787,other,social,1,2
1003787,other,recreation,2,5
1003787,other,financial,3,5
1003787,other,health,5,5
1003787,other,ethical,6,6
1003787,other,social,7,4
1003787,other,financial,8,6
1003787,other,ethical,9,4
1003787,other,ethical,10,3
1003787,other,recreation,11,4
1003787,other,financial,12,2
1003787,other,recreation,13,5
1003787,other,financial,14,4
1003787,other,health,17,3
1003787,other,financial,18,5
1003787,other,recreation,19,4
1003787,other,health,20,4
1003787,other,social,21,2
1003787,other,social,22,1
1003787,other,health,23,6
1003787,other,recreation,24,2
1003787,other,recreation,25,2
1003787,other,health,26,2
1003787,other,social,27,2
1003787,other,social,28,1
1003787,other,ethical,30,7
1003788,you,social,1,4
1003788,you,recreation,2,3
1003788,you,financial,3,7
1003788,you,health,5,5
1003788,you,ethical,6,5
1003788,you,social,7,3
1003788,you,financial,8,6
1003788,you,ethical,9,7
1003788,you,ethical,10,4
1003788,you,recreation,11,6
1003788,you,financial,12,5
1003788,you,recreation,13,4
1003788,you,financial,14,4
1003788,you,health,17,7
1003788,you,financial,18,5
1003788,you,recreation,19,6
1003788,you,health,20,4
1003788,you,social,21,3
1003788,you,social,22,1
1003788,you,health,23,6
1003788,you,recreation,24,5
1003788,you,recreation,25,6
1003788,you,health,26,5
1003788,you,social,27,2
1003788,you,social,28,3
1003788,you,ethical,30,7
1003788,other,social,1,4
1003788,other,recreation,2,1
1003788,other,financial,3,5
1003788,other,health,5,3
1003788,other,ethical,6,4
1003788,other,social,7,3
1003788,other,financial,8,5
1003788,other,ethical,9,7
1003788,other,ethical,10,2
1003788,other,recreation,11,5
1003788,other,financial,12,5
1003788,other,recreation,13,3
1003788,other,financial,14,6
1003788,other,health,17,5
1003788,other,financial,18,4
1003788,other,recreation,19,4
1003788,other,health,20,3
1003788,other,social,21,1
1003788,other,social,22,1
1003788,other,health,23,7
1003788,other,recreation,24,6
1003788,other,recreation,25,4
1003788,other,health,26,2
1003788,other,social,27,1
1003788,other,social,28,2
1003788,other,ethical,30,5
1003789,you,social,1,4
1003789,you,recreation,2,4
1003789,you,financial,3,4
1003789,you,health,5,4
1003789,you,ethical,6,7
1003789,you,social,7,1
1003789,you,financial,8,3
1003789,you,ethical,9,7
1003789,you,ethical,10,7
1003789,you,recreation,11,4
1003789,you,financial,12,4
1003789,you,recreation,13,4
1003789,you,financial,14,4
1003789,you,health,17,6
1003789,you,financial,18,5
1003789,you,recreation,19,5
1003789,you,health,20,7
1003789,you,social,21,2
1003789,you,social,22,4
1003789,you,health,23,6
1003789,you,recreation,24,5
1003789,you,recreation,25,5
1003789,you,health,26,4
1003789,you,social,27,3
1003789,you,social,28,4
1003789,you,ethical,30,4
1003789,other,social,1,2
1003789,other,recreation,2,1
1003789,other,financial,3,2
1003789,other,health,5,4
1003789,other,ethical,6,4
1003789,other,social,7,1
1003789,other,financial,8,2
1003789,other,ethical,9,7
1003789,other,ethical,10,7
1003789,other,recreation,11,2
1003789,other,financial,12,3
1003789,other,recreation,13,3
1003789,other,financial,14,4
1003789,other,health,17,4
1003789,other,financial,18,4
1003789,other,recreation,19,3
1003789,other,health,20,7
1003789,other,social,21,1
1003789,other,social,22,4
1003789,other,health,23,3
1003789,other,recreation,24,5
1003789,other,recreation,25,3
1003789,other,health,26,3
1003789,other,social,27,1
1003789,other,social,28,2
1003789,other,ethical,30,3
1003790,you,social,1,2
1003790,you,recreation,2,5
1003790,you,financial,3,6
1003790,you,health,5,5
1003790,you,ethical,6,6
1003790,you,social,7,3
1003790,you,financial,8,6
1003790,you,ethical,9,5
1003790,you,ethical,10,4
1003790,you,recreation,11,3
1003790,you,financial,12,4
1003790,you,recreation,13,4
1003790,you,financial,14,6
1003790,you,health,17,5
1003790,you,financial,18,4
1003790,you,recreation,19,5
1003790,you,health,20,4
1003790,you,social,21,3
1003790,you,social,22,3
1003790,you,health,23,6
1003790,you,recreation,24,4
1003790,you,recreation,25,3
1003790,you,health,26,5
1003790,you,social,27,2
1003790,you,social,28,2
1003790,you,ethical,30,4
1003790,other,social,1,1
1003790,other,recreation,2,2
1003790,other,financial,3,4
1003790,other,health,5,5
1003790,other,ethical,6,4
1003790,other,social,7,2
1003790,other,financial,8,5
1003790,other,ethical,9,5
1003790,other,ethical,10,4
1003790,other,recreation,11,2
1003790,other,financial,12,4
1003790,other,recreation,13,4
1003790,other,financial,14,6
1003790,other,health,17,4
1003790,other,financial,18,2
1003790,other,recreation,19,2
1003790,other,health,20,4
1003790,other,social,21,1
1003790,other,social,22,1
1003790,other,health,23,6
1003790,other,recreation,24,2
1003790,other,recreation,25,2
1003790,other,health,26,3
1003790,other,social,27,1
1003790,other,social,28,2
1003790,other,ethical,30,4
1003791,you,social,1,1
1003791,you,recreation,2,3
1003791,you,financial,3,5
1003791,you,health,5,5
1003791,you,ethical,6,7
1003791,you,social,7,2
1003791,you,financial,8,4
1003791,you,ethical,9,6
1003791,you,ethical,10,7
1003791,you,recreation,11,6
1003791,you,financial,12,5
1003791,you,recreation,13,4
1003791,you,financial,14,3
1003791,you,health,17,7
1003791,you,financial,18,4
1003791,you,recreation,19,3
1003791,you,health,20,6
1003791,you,social,21,2
1003791,you,social,22,1
1003791,you,health,23,7
1003791,you,recreation,24,4
1003791,you,recreation,25,4
1003791,you,health,26,6
1003791,you,social,27,3
1003791,you,social,28,4
1003791,you,ethical,30,7
1003791,other,social,1,2
1003791,other,recreation,2,2
1003791,other,financial,3,5
1003791,other,health,5,3
1003791,other,ethical,6,7
1003791,other,social,7,1
1003791,other,financial,8,4
1003791,other,ethical,9,3
1003791,other,ethical,10,5
1003791,other,recreation,11,5
1003791,other,financial,12,3
1003791,other,recreation,13,1
1003791,other,financial,14,2
1003791,other,health,17,6
1003791,other,financial,18,1
1003791,other,recreation,19,3
1003791,other,health,20,5
1003791,other,social,21,1
1003791,other,social,22,1
1003791,other,health,23,5
1003791,other,recreation,24,3
1003791,other,recreation,25,3
1003791,other,health,26,4
1003791,other,social,27,1
1003791,other,social,28,3
1003791,other,ethical,30,7
1003792,you,social,1,4
1003792,you,recreation,2,5
1003792,you,financial,3,7
1003792,you,health,5,5
1003792,you,ethical,6,7
1003792,you,social,7,4
1003792,you,financial,8,5
1003792,you,ethical,9,7
1003792,you,ethical,10,5
1003792,you,recreation,11,4
1003792,you,financial,12,4
1003792,you,recreation,13,5
1003792,you,financial,14,6
1003792,you,health,17,4
1003792,you,financial,18,7
1003792,you,recreation,19,5
1003792,you,health,20,3
1003792,you,social,21,3
1003792,you,social,22,4
1003792,you,health,23,5
1003792,you,recreation,24,5
1003792,you,recreation,25,6
1003792,you,health,26,7
1003792,you,social,27,3
1003792,you,social,28,3
1003792,you,ethical,30,6
1003792,other,social,1,2
1003792,other,recreation,2,3
1003792,other,financial,3,5
1003792,other,health,5,4
1003792,other,ethical,6,7
1003792,other,social,7,6
1003792,other,financial,8,4
1003792,other,ethical,9,7
1003792,other,ethical,10,6
1003792,other,recreation,11,2
1003792,other,financial,12,3
1003792,other,recreation,13,5
1003792,other,financial,14,4
1003792,other,health,17,5
1003792,other,financial,18,7
1003792,other,recreation,19,4
1003792,other,health,20,3
1003792,other,social,21,1
1003792,other,social,22,3
1003792,other,health,23,4
1003792,other,recreation,24,6
1003792,other,recreation,25,6
1003792,other,health,26,7
1003792,other,social,27,1
1003792,other,social,28,1
1003792,other,ethical,30,5
1003793,you,social,1,3
1003793,you,recreation,2,5
1003793,you,financial,3,5
1003793,you,health,5,7
1003793,you,ethical,6,5
1003793,you,social,7,1
1003793,you,financial,8,5
1003793,you,ethical,9,6
1003793,you,ethical,10,7
1003793,you,recreation,11,3
1003793,you,financial,12,5
1003793,you,recreation,13,4
1003793,you,financial,14,5
1003793,you,health,17,4
1003793,you,financial,18,5
1003793,you,recreation,19,5
1003793,you,health,20,7
1003793,you,social,21,2
1003793,you,social,22,1
1003793,you,health,23,5
1003793,you,recreation,24,4
1003793,you,recreation,25,5
1003793,you,health,26,4
1003793,you,social,27,3
1003793,you,social,28,3
1003793,you,ethical,30,7
1003793,other,social,1,2
1003793,other,recreation,2,3
1003793,other,financial,3,4
1003793,other,health,5,6
1003793,other,ethical,6,3
1003793,other,social,7,1
1003793,other,financial,8,3
1003793,other,ethical,9,6
1003793,other,ethical,10,5
1003793,other,recreation,11,2
1003793,other,financial,12,4
1003793,other,recreation,13,2
1003793,other,financial,14,3
1003793,other,health,17,3
1003793,other,financial,18,5
1003793,other,recreation,19,4
1003793,other,health,20,7
1003793,other,social,21,1
1003793,other,social,22,1
1003793,other,health,23,3
1003793,other,recreation,24,3
1003793,other,recreation,25,4
1003793,other,health,26,1
1003793,other,social,27,3
1003793,other,social,28,2
1003793,other,ethical,30,6
1003794,you,social,1,5
1003794,you,recreation,2,4
1003794,you,financial,3,6
1003794,you,health,5,4
1003794,you,ethical,6,7
1003794,you,social,7,2
1003794,you,financial,8,4
1003794,you,ethical,9,5
1003794,you,ethical,10,4
1003794,you,recreation,11,6
1003794,you,financial,12,7
1003794,you,recreation,13,4
1003794,you,financial,14,4
1003794,you,health,17,7
1003794,you,financial,18,6
1003794,you,recreation,19,5
1003794,you,health,20,5
1003794,you,social,21,3
1003794,you,social,22,2
1003794,you,health,23,4
1003794,you,recreation,24,6
1003794,you,recreation,25,5
1003794,you,health,26,5
1003794,you,social,27,3
1003794,you,social,28,2
1003794,you,ethical,30,5
1003794,other,social,1,4
1003794,other,recreation,2,1
1003794,other,financial,3,5
1003794,other,health,5,2
1003794,other,ethical,6,6
1003794,other,social,7,1
1003794,other,financial,8,3
1003794,other,ethical,9,2
1003794,other,ethical,10,2
1003794,other,recreation,11,5
1003794,other,financial,12,4
1003794,other,recreation,13,5
1003794,other,financial,14,5
1003794,other,health,17,6
1003794,other,financial,18,4
1003794,other,recreation,19,3
1003794,other,health,20,4
1003794,other,social,21,3
1003794,other,social,22,2
1003794,other,health,23,3
1003794,other,recreation,24,5
1003794,other,recreation,25,4
1003794,other,health,26,3
1003794,other,social,27,1
1003794,other,social,28,1
1003794,other,ethical,30,5
1003795,you,social,1,2
1003795,you,recreation,2,5
1003795,you,financial,3,6
1003795,you,health,5,5
1003795,you,ethical,6,7
1003795,you,social,7,4
1003795,you,financial,8,7
1003795,you,ethical,9,7
1003795,you,ethical,10,7
1003795,you,recreation,11,3
1003795,you,financial,12,7
1003795,you,recreation,13,5
1003795,you,financial,14,7
1003795,you,health,17,5
1003795,you,financial,18,3
1003795,you,recreation,19,3
1003795,you,health,20,7
1003795,you,social,21,2
1003795,you,social,22,3
1003795,you,health,23,6
1003795,you,recreation,24,4
1003795,you,recreation,25,4
1003795,you,health,26,7
1003795,you,social,27,4
1003795,you,social,28,4
1003795,you,ethical,30,5
1003795,other,social,1,2
1003795,other,recreation,2,4
1003795,other,financial,3,4
1003795,other,health,5,4
1003795,other,ethical,6,7
1003795,other,social,7,3
1003795,other,financial,8,6
1003795,other,ethical,9,6
1003795,other,ethical,10,5
1003795,other,recreation,11,3
1003795,other,financial,12,7
1003795,other,recreation,13,3
1003795,other,financial,14,6
1003795,other,health,17,6
1003795,other,financial,18,3
1003795,other,recreation,19,2
1003795,other,health,20,6
1003795,other,social,21,2
1003795,other,social,22,3
1003795,other,health,23,5
1003795,other,recreation,24,3
1003795,other,recreation,25,3
1003795,other,health,26,5
1003795,other,social,27,3
1003795,other,social,28,2
1003795,other,ethical,30,2
1003796,you,social,1,4
1003796,you,recreation,2,6
1003796,you,financial,3,7
1003796,you,health,5,4
1003796,you,ethical,6,7
1003796,you,social,7,5
1003796,you,financial,8,6
1003796,you,ethical,9,6
1003796,you,ethical,10,7
1003796,you,recreation,11,2
1003796,you,financial,12,7
1003796,you,recreation,13,4
1003796,you,financial,14,3
1003796,you,health,17,4
1003796,you,financial,18,2
1003796,you,recreation,19,4
1003796,you,health,20,7
1003796,you,social,21,4
1003796,you,social,22,4
1003796,you,health,23,4
1003796,you,recreation,24,5
1003796,you,recreation,25,4
1003796,you,health,26,7
1003796,you,social,27,2
1003796,you,social,28,4
1003796,you,ethical,30,7
1003796,other,social,1,4
1003796,other,recreation,2,7
1003796,other,financial,3,5
1003796,other,health,5,2
1003796,other,ethical,6,5
1003796,other,social,7,4
1003796,other,financial,8,5
1003796,other,ethical,9,6
1003796,other,ethical,10,6
1003796,other,recreation,11,1
1003796,other,financial,12,5
1003796,other,recreation,13,4
1003796,other,financial,14,1
1003796,other,health,17,3
1003796,other,financial,18,3
1003796,other,recreation,19,3
1003796,other,health,20,5
1003796,other,social,21,3
1003796,other,social,22,3
1003796,other,health,23,3
1003796,other,recreation,24,7
1003796,other,recreation,25,1
1003796,other,health,26,5
1003796,other,social,27,2
1003796,other,social,28,3
1003796,other,ethical,30,5
1003797,you,social,1,3
1003797,you,recreation,2,4
1003797,you,financial,3,4
1003797,you,health,5,5
1003797,you,ethical,6,7
1003797,you,social,7,3
1003797,you,financial,8,5
1003797,you,ethical,9,6
1003797,you,ethical,10,7
1003797,you,recreation,11,6
1003797,you,financial,12,7
1003797,you,recreation,13,3
1003797,you,financial,14,3
1003797,you,health,17,4
1003797,you,financial,18,6
1003797,you,recreation,19,3
1003797,you,health,20,6
1003797,you,social,21,6
1003797,you,social,22,2
1003797,you,health,23,7
1003797,you,recreation,24,2
1003797,you,recreation,25,2
1003797,you,health,26,6
1003797,you,social,27,3
1003797,you,social,28,3
1003797,you,ethical,30,7
1003797,other,social,1,1
1003797,other,recreation,2,4
1003797,other,financial,3,3
1003797,other,health,5,5
1003797,other,ethical,6,6
1003797,other,social,7,1
1003797,other,financial,8,3
1003797,other,ethical,9,7
1003797,other,ethical,10,7
1003797,other,recreation,11,5
1003797,other,financial,12,7
1003797,other,recreation,13,1
1003797,other,financial,14,2
1003797,other,health,17,2
1003797,other,financial,18,5
1003797,other,recreation,19,1
1003797,other,health,20,6
1003797,other,social,21,5
1003797,other,social,22,1
1003797,other,health,23,6
1003797,other,recreation,24,2
1003797,other,recreation,25,1
1003797,other,health,26,6
1003797,other,social,27,2
1003797,other,social,28,2
1003797,other,ethical,30,4
1003798,you,social,1,2
1003798,you,recreation,2,3
1003798,you,financial,3,2
1003798,you,health,5,4
1003798,you,ethical,6,7
1003798,you,social,7,1
1003798,you,financial,8,6
1003798,you,ethical,9,7
1003798,you,ethical,10,5
1003798,you,recreation,11,5
1003798,you,financial,12,4
1003798,you,recreation,13,3
1003798,you,financial,14,5
1003798,you,health,17,5
1003798,you,financial,18,5
1003798,you,recreation,19,3
1003798,you,health,20,6
1003798,you,social,21,3
1003798,you,social,22,3
1003798,you,health,23,5
1003798,you,recreation,24,3
1003798,you,recreation,25,5
1003798,you,health,26,5
1003798,you,social,27,2
1003798,you,social,28,3
1003798,you,ethical,30,7
1003798,other,social,1,1
1003798,other,recreation,2,2
1003798,other,financial,3,1
1003798,other,health,5,2
1003798,other,ethical,6,7
1003798,other,social,7,1
1003798,other,financial,8,5
1003798,other,ethical,9,6
1003798,other,ethical,10,4
1003798,other,recreation,11,2
1003798,other,financial,12,3
1003798,other,recreation,13,2
1003798,other,financial,14,5
1003798,other,health,17,3
1003798,other,financial,18,5
1003798,other,recreation,19,1
1003798,other,health,20,5
1003798,other,social,21,2
1003798,other,social,22,1
1003798,other,health,23,4
1003798,other,recreation,24,2
1003798,other,recreation,25,5
1003798,other,health,26,4
1003798,other,social,27,3
1003798,other,social,28,2
1003798,other,ethical,30,4
1003799,you,social,1,5
1003799,you,recreation,2,5
1003799,you,financial,3,6
1003799,you,health,5,7
1003799,you,ethical,6,5
1003799,you,social,7,2
1003799,you,financial,8,4
1003799,you,ethical,9,7
1003799,you,ethical,10,5
1003799,you,recreation,11,6
1003799,you,financial,12,1
1003799,you,recreation,13,6
1003799,you,financial,14,4
1003799,you,health,17,5
1003799,you,financial,18,5
1003799,you,recreation,19,6
1003799,you,health,20,7
1003799,you,social,21,3
1003799,you,social,22,4
1003799,you,health,23,4
1003799,you,recreation,24,4
1003799,you,recreation,25,5
1003799,you,health,26,6
1003799,you,social,27,4
1003799,you,social,28,4
1003799,you,ethical,30,7
1003799,other,social,1,4
1003799,other,recreation,2,4
1003799,other,financial,3,4
1003799,other,health,5,4
1003799,other,ethical,6,3
1003799,other,social,7,1
1003799,other,financial,8,2
1003799,other,ethical,9,5
1003799,other,ethical,10,3
1003799,other,recreation,11,6
1003799,other,financial,12,1
1003799,other,recreation,13,6
1003799,other,financial,14,3
1003799,other,health,17,3
1003799,other,financial,18,4
1003799,other,recreation,19,3
1003799,other,health,20,6
1003799,other,social,21,3
1003799,other,social,22,4
1003799,other,health,23,3
1003799,other,recreation,24,2
1003799,other,recreation,25,4
1003799,other,health,26,6
1003799,other,social,27,2
1003799,other,social,28,2
1003799,other,ethical,30,5
1003800,you,social,1,2
1003800,you,recreation,2,5
1003800,you,financial,3,7
1003800,you,health,5,7
1003800,you,ethical,6,7
1003800,you,social,7,3
1003800,you,financial,8,6
1003800,you,ethical,9,7
1003800,you,ethical,10,7
1003800,you,recreation,11,5
1003800,you,financial,12,5
1003800,you,recreation,13,2
1003800,you,financial,14,4
1003800,you,health,17,4
1003800,you,financial,18,4
1003800,you,recreation,19,4
1003800,you,health,20,5
1003800,you,social,21,2
1003800,you,social,22,1
1003800,you,health,23,7
1003800,you,recreation,24,2
1003800,you,recreation,25,5
1003800,you,health,26,5
1003800,you,social,27,4
1003800,you,social,28,3
1003800,you,ethical,30,5
1003800,other,social,1,1
1003800,other,recreation,2,4
1003800,other,financial,3,6
1003800,other,health,5,7
1003800,other,ethical,6,6
1003800,other,social,7,1
1003800,other,financial,8,5
1003800,other,ethical,9,6
1003800,other,ethical,10,5
1003800,other,recreation,11,5
1003800,other,financial,12,5
1003800,other,recreation,13,1
1003800,other,financial,14,2
1003800,other,health,17,4
1003800,other,financial,18,3
1003800,other,recreation,19,4
1003800,other,health,20,3
1003800,other,social,21,1
1003800,other,social,22,1
1003800,other,health,23,5
1003800,other,recreation,24,1
1003800,other,recreation,25,3
1003800,other,health,26,6
1003800,other,social,27,4
1003800,other,social,28,1
1003800,other,ethical,30,4
1003801,you,social,1,1
1003801,you,recreation,2,4
1003801,you,financial,3,1
1003801,you,health,5,6
1003801,you,ethical,6,7
1003801,you,social,7,4
1003801,you,financial,8,7
1003801,you,ethical,9,5
1003801,you,ethical,10,7
1003801,you,recreation,11,3
1003801,you,financial,12,4
1003801,you,recreation,13,5
1003801,you,financial,14,6
1003801,you,health,17,4
1003801,you,financial,18,7
1003801,you,recreation,19,3
1003801,you,health,20,6
1003801,you,social,21,3
1003801,you,social,22,2
1003801,you,health,23,6
1003801,you,recreation,24,2
1003801,you,recreation,25,2
1003801,you,health,26,6
1003801,you,social,27,3
1003801,you,social,28,4
1003801,you,ethical,30,7
1003801,other,social,1,1
1003801,other,recreation,2,4
1003801,other,financial,3,1
1003801,other,health,5,4
1003801,other,ethical,6,5
1003801,other,social,7,4
1003801,other,financial,8,6
1003801,other,ethical,9,4
1003801,other,ethical,10,7
1003801,other,recreation,11,1
1003801,other,financial,12,4
1003801,other,recreation,13,5
1003801,other,financial,14,6
