Solution,Rater,Cond,score
104062,104092,Nature,1
104062,104118,Nature,6
104062,104032,Nature,4
104062,104042,Nature,1
104062,104039,Nature,7
104062,104050,Nature,3
104084,104074,Nature,7
104084,104020,Nature,6
104084,104112,Nature,4
104084,104072,Nature,4
104084,104087,Nature,5
104084,104093,Nature,4
104084,104024,Nature,10
104084,104120,Nature,4
104084,104038,Nature,7
104084,104041,Nature,5
104087,104065,Nature,2
104087,104049,Nature,2
104087,104100,Nature,3
104087,104114,Nature,8
104087,104028,Nature,5
104087,104001,Nature,8
104087,104013,Nature,3
104087,104058,Nature,8
104087,104106,Nature,10
104087,104011,Nature,5
104111,104078,Nature,6
104111,104062,Nature,4
104111,104040,Nature,3
104111,104054,Nature,4
104111,104111,Nature,6
104111,104108,Nature,7
104111,104079,Nature,5
104111,104083,Nature,6
104111,104089,Nature,10
104111,104094,Nature,6
